	date	temperature_2m	apparent_temperature	rain	weather_code	cloud_cover	cloud_cover_mid	cloud_cover_high	cloud_cover_low	wind_speed_10m	wind_speed_100m

GMT + 0
0	2022-01-01 00:00:00+00:00	21.354	25.452484	0.0	3.0	89.0	2.0	100.0	100.0	3.2399998	5.2416787
1	2022-01-01 01:00:00+00:00	21.104	24.883163	0.0	3.0	100.0	1.0	100.0	95.0	4.510787	4.68
2	2022-01-01 02:00:00+00:00	23.154	27.97017	0.0	3.0	87.0	0.0	86.0	1.0	3.096837	3.9763298
3	2022-01-01 03:00:00+00:00	25.954	31.087582	0.0	3.0	86.0	0.0	86.0	0.0	2.9024127	4.6938252
4	2022-01-01 04:00:00+00:00	27.704	33.272446	0.0	3.0	88.0	0.0	88.0	1.0	0.71999997	1.1384199
5	2022-01-01 05:00:00+00:00	28.704	35.152878	0.0	0.0	11.0	0.0	1.0	10.0	2.9024127	3.6179552
6	2022-01-01 06:00:00+00:00	29.454	36.775654	0.0	0.0	15.0	4.0	2.0	12.0	4.2136917	5.154415
7	2022-01-01 07:00:00+00:00	30.004	37.452976	0.0	0.0	12.0	4.0	2.0	9.0	4.802999	5.5887027
8	2022-01-01 08:00:00+00:00	29.654	36.228703	0.0	3.0	92.0	8.0	91.0	5.0	7.5685663	9.178235
9	2022-01-01 09:00:00+00:00	28.754	34.901203	0.0	3.0	98.0	17.0	97.0	17.0	4.0249224	5.04
10	2022-01-01 10:00:00+00:00	27.154	31.727673	0.6	53.0	100.0	23.0	95.0	100.0	8.373386	11.113451
11	2022-01-01 11:00:00+00:00	25.204	29.87064	1.1	55.0	96.0	56.0	84.0	49.0	4.1046314	5.6920996
12	2022-01-01 12:00:00+00:00	25.604	30.85149	0.1	51.0	97.0	45.0	79.0	25.0	4.39436	7.145796
13	2022-01-01 13:00:00+00:00	24.554	29.642433	0.0	2.0	68.0	21.0	58.0	9.0	5.495161	8.209263
14	2022-01-01 14:00:00+00:00	24.654	29.455475	0.0	0.0	15.0	8.0	7.0	0.0	5.1919937	9.021574
